id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost Per Year ($),Average IOPS,classification
1003,GCP,16,4,16,41.24,115,890.6,1142,underutilized
1004,GCP,64,16,32,46.8,75,3325.4,1754,overutilized
1005,AWS,16,8,16,81.97,133,1052,1149,overutilized
1006,GCP,8,2,8,43.32,79,486.6,986,underutilized
1007,AWS,32,16,16,68.48,117,2024,991,optimal
1008,AWS,4,2,8,68.67,94,324.2,807,optimal
1009,GCP,2,1,8,88.48,147,203,754,overutilized
1010,On-prem,32,16,16,65.41,291,1622.4,940,overutilized
1011,AWS,64,16,32,74.34,73,3334.6,1375,optimal
1012,AWS,2,1,8,78.34,58,203.2,884,optimal
1013,GCP,16,8,16,94.91,125,1055,950,overutilized
1014,AWS,64,16,32,78.13,64,3334,1788,overutilized
1015,AWS,32,16,16,49.16,53,2030.6,1033,underutilized
1016,GCP,16,8,16,50.65,42,1051.4,1047,underutilized
1017,GCP,4,2,8,41.1,46,324.2,778,underutilized
1018,AWS,1,1,8,62.13,46,163,796,optimal
1019,AWS,4,1,8,97.98,97,284.6,863,overutilized
1020,GCP,4,1,8,80.65,110,282.8,725,overutilized
1021,On-prem,32,16,16,66.41,299,1617,941,overutilized
1022,AWS,64,16,32,89.16,104,3318.8,1623,overutilized
1023,On-prem,2,1,8,78.39,246,162.4,940,optimal
1024,AWS,2,1,8,75.77,148,203.4,898,overutilized
1025,AWS,4,1,8,94.91,107,284.8,708,overutilized
1026,On-prem,1,1,8,54.34,126,130,735,underutilized
1027,On-prem,4,2,8,60.69,118,260.2,975,optimal
1028,AWS,64,16,32,57.62,104,3318.4,1588,underutilized
1029,AWS,16,4,16,64.22,75,894.8,848,optimal
1030,GCP,16,4,16,43.08,79,894.4,1091,underutilized
1031,GCP,16,4,16,43.7,43,895.6,888,underutilized
1032,AWS,2,1,8,77.26,142,202,834,overutilized
1033,On-prem,32,16,16,87.24,264,1618,948,overutilized
1034,On-prem,32,16,16,42.97,190,1629.2,1343,underutilized
1035,AWS,1,1,8,48.17,122,163,952,underutilized
1036,GCP,4,1,8,62.7,59,284.4,849,optimal
1037,AWS,2,1,8,52.67,96,204,745,underutilized
1038,GCP,64,16,32,85.32,50,3324.8,1223,overutilized
1039,AWS,2,1,8,66.67,144,202.4,667,overutilized
1040,GCP,16,4,16,55.75,112,890.6,1041,underutilized
1041,GCP,1,1,8,41.38,143,162.4,820,overutilized
1042,GCP,8,2,8,83.72,79,487.6,1043,overutilized
1043,AWS,8,1,8,83.15,146,447.2,875,overutilized
1044,GCP,8,2,8,86.5,56,487.4,768,overutilized
1045,AWS,1,1,8,71.64,146,163,779,overutilized
1046,AWS,8,2,8,72.83,129,486,982,optimal
1047,AWS,16,4,16,85.59,104,892.2,983,overutilized
1048,AWS,1,1,8,53.21,101,161.8,828,underutilized
1049,AWS,4,1,8,80.8,67,285.6,989,overutilized
1050,AWS,1,1,8,88.84,73,162.2,780,overutilized
1051,AWS,64,16,32,56.81,112,3333.6,1447,underutilized
1052,AWS,1,1,8,75.16,113,161.8,820,optimal
1053,On-prem,2,1,8,76.51,90,163.2,817,optimal
1054,AWS,16,4,16,50.8,67,894.6,985,underutilized
1055,AWS,4,2,8,72.67,71,325,909,optimal
1056,AWS,8,1,8,91.28,128,446,1043,overutilized
1057,AWS,8,1,8,82.26,56,444.8,1017,overutilized
1058,GCP,64,16,32,42.19,64,3313.2,1293,underutilized
1059,AWS,32,16,16,55.29,91,2032.8,1156,underutilized
1060,AWS,8,2,8,42.42,145,486.6,877,overutilized
1061,AWS,64,16,32,91.08,112,3321.2,1410,overutilized
1062,AWS,16,8,16,53.03,72,1054.4,1152,underutilized
1063,On-prem,2,1,8,62.27,89,162.2,908,optimal
1064,AWS,64,16,32,57.68,78,3337,1657,underutilized
1065,AWS,32,16,16,94.22,41,2034.8,1049,overutilized
1066,AWS,2,1,8,41.1,99,203.2,714,underutilized
1067,AWS,16,4,16,43.04,58,892,821,underutilized
1068,On-prem,2,1,8,67.41,205,162,969,optimal
1069,On-prem,16,8,16,92.71,166,848.2,1112,overutilized
1070,GCP,16,4,16,61.06,115,890.8,1104,optimal
1071,GCP,64,16,32,48.46,130,3317.6,1295,underutilized
1072,On-prem,4,1,8,86.71,229,227.8,892,overutilized
1073,On-prem,1,1,8,43.37,225,129.8,676,underutilized
1074,AWS,32,16,16,48.58,143,2037.4,1018,overutilized
1075,On-prem,2,1,8,86.94,279,161.8,885,overutilized
1076,AWS,64,16,32,48.44,50,3338.6,1515,underutilized
1077,GCP,64,16,32,56.5,145,3313.2,1208,overutilized
1078,GCP,32,16,16,85.03,99,2033.4,1011,overutilized
1079,GCP,2,1,8,46.13,116,203.6,689,underutilized
1080,AWS,1,1,8,54.16,126,162.8,822,underutilized
1081,GCP,1,1,8,82.88,119,163.2,693,overutilized
1082,GCP,32,16,16,95.93,99,2023.2,1105,overutilized
1083,AWS,16,4,16,48.58,96,889.6,810,underutilized
1084,On-prem,2,1,8,57.28,87,161.6,815,underutilized
1085,On-prem,4,2,8,41.7,188,260.8,710,underutilized
1086,GCP,32,16,16,74.31,139,2039.2,1329,optimal
1087,AWS,1,1,8,45.17,64,162,914,underutilized
1088,GCP,64,16,32,73.42,129,3337.4,1424,optimal
1089,On-prem,2,1,8,89.52,164,161.8,798,overutilized
1090,AWS,2,1,8,88.6,74,202.6,684,overutilized
1091,AWS,32,16,16,96.39,102,2022.6,1267,overutilized
1092,On-prem,4,2,8,93.85,80,259.4,837,overutilized
1093,On-prem,4,1,8,93.06,109,227.2,709,overutilized
1094,AWS,8,2,8,71.25,127,488.2,1008,optimal
1095,AWS,1,1,8,90.61,126,163,749,overutilized
1096,AWS,16,8,16,81.14,55,1058.8,1029,overutilized
1097,GCP,1,1,8,96.82,78,162.8,723,overutilized
1098,AWS,1,1,8,94.44,51,163,859,overutilized
1099,AWS,16,8,16,97.14,61,1058.2,893,overutilized
1100,AWS,1,1,8,62.44,138,162.6,826,optimal
1101,AWS,16,4,16,84.37,40,896.6,1026,overutilized
1102,On-prem,4,2,8,66.65,262,260.4,987,optimal
1103,GCP,16,4,16,72.07,108,896.2,892,optimal
1104,On-prem,8,2,8,41.25,57,391.6,1044,underutilized
1105,On-prem,16,8,16,75.61,111,846.4,1047,optimal
1106,AWS,2,1,8,67.46,87,203.4,735,optimal
1107,AWS,8,1,8,50.23,50,446.2,859,underutilized
1108,AWS,16,4,16,88.45,107,896.2,997,overutilized
1109,On-prem,1,1,8,58.12,287,130.6,840,overutilized
1110,AWS,32,16,16,60.35,140,2021.2,1253,optimal
1111,GCP,2,1,8,62.87,43,203,933,optimal
1112,AWS,32,16,16,42.53,88,2031.4,1273,underutilized
1113,GCP,2,1,8,88.04,57,202.4,824,overutilized
1114,AWS,32,16,16,77.94,50,2033,927,optimal
1115,AWS,8,2,8,91.48,55,485.6,803,overutilized
1116,GCP,1,1,8,49.79,95,163,953,underutilized
1117,AWS,4,2,8,80.99,80,324.6,980,overutilized
1118,GCP,1,1,8,85.68,98,162.6,937,overutilized
1119,AWS,64,16,32,68.51,103,3340,1269,optimal
1120,AWS,4,1,8,47.74,73,284,851,underutilized
1121,On-prem,4,2,8,71.36,254,259.2,963,optimal
1122,AWS,8,2,8,57.91,63,488.8,968,underutilized
1123,AWS,2,1,8,87.89,117,203.6,889,overutilized
1124,AWS,16,8,16,91.17,132,1060.4,890,overutilized
1125,AWS,8,1,8,52.48,80,446.8,946,underutilized
1126,AWS,1,1,8,56.33,100,162.8,651,underutilized
1127,GCP,4,2,8,51.05,127,323.4,972,underutilized
1128,GCP,8,1,8,97.5,76,448.4,1003,overutilized
1129,AWS,64,16,32,67.58,130,3324.2,1588,optimal
1130,AWS,16,8,16,75.51,147,1060.8,1150,overutilized
1131,AWS,4,2,8,53.74,40,324,670,underutilized
1132,AWS,4,2,8,71.05,56,326,934,optimal
1133,AWS,2,1,8,46.6,91,202.4,763,underutilized
1134,AWS,1,1,8,96.4,50,163.2,683,overutilized
1135,GCP,4,2,8,56.64,104,323.4,952,underutilized
1136,AWS,16,8,16,43.59,131,1058.8,957,underutilized
1137,GCP,32,16,16,51.73,115,2038.8,949,underutilized
1138,AWS,64,16,32,51.69,136,3316.4,1468,underutilized
1139,GCP,16,8,16,88.45,146,1058,1087,overutilized
1140,On-prem,8,2,8,64.33,273,389.2,731,optimal
1141,On-prem,8,2,8,93.34,244,391.4,823,overutilized
1142,AWS,2,1,8,56.28,138,202,683,underutilized
1143,AWS,32,16,16,48.83,91,2033.4,1371,underutilized
1144,GCP,2,1,8,48.96,119,203.2,847,underutilized
1145,GCP,16,4,16,75.77,116,890.8,1127,optimal
1146,AWS,64,16,32,71.81,88,3337.8,1794,overutilized
1147,On-prem,8,2,8,88.97,254,390.8,739,overutilized
1148,On-prem,2,1,8,79.52,242,162.6,756,optimal
1149,AWS,16,4,16,58.63,71,896.8,1146,underutilized
1150,GCP,16,4,16,60.24,126,890.6,1155,optimal
1151,On-prem,16,4,16,65.8,164,718,1093,optimal
1152,AWS,4,2,8,76.34,141,324,734,overutilized
1153,GCP,32,16,16,69.45,145,2021.6,1016,overutilized
1154,AWS,64,16,32,79.16,119,3322.8,1296,optimal
1155,AWS,2,1,8,56.91,42,202.8,758,underutilized
1156,AWS,64,16,32,89.49,141,3328.6,1717,overutilized
1157,AWS,32,16,16,73.22,136,2034,1164,optimal
1158,GCP,32,16,16,40.19,111,2021.4,1223,underutilized
1159,GCP,2,1,8,55.19,108,203.8,717,underutilized
1160,GCP,8,1,8,80.14,132,447,938,overutilized
1161,On-prem,64,16,32,41.92,250,2674.8,1525,underutilized
1162,AWS,32,16,16,93.35,93,2037.6,1272,overutilized
1163,GCP,4,1,8,84.91,53,284.8,951,overutilized
1164,AWS,4,1,8,70.67,66,283.4,805,optimal
1165,AWS,8,1,8,90.63,125,446.4,855,overutilized
1166,AWS,64,16,32,53.54,84,3323.8,1608,underutilized
1167,On-prem,16,8,16,49.77,169,847,992,underutilized
1168,AWS,4,2,8,66.39,45,323.4,992,optimal
1169,AWS,64,16,32,90.81,60,3318.6,1741,overutilized
1170,AWS,8,1,8,40.71,132,444.8,716,underutilized
1171,AWS,8,2,8,60.41,150,486.8,891,overutilized
1172,AWS,8,2,8,51.04,100,487.2,1018,underutilized
1173,On-prem,2,1,8,70.76,138,162.2,898,optimal
1174,AWS,2,1,8,69.28,110,203.4,735,optimal
1175,AWS,8,1,8,46.53,105,447.8,922,underutilized
1176,AWS,64,16,32,67.95,67,3339.4,1768,overutilized
1177,AWS,64,16,32,49.88,86,3342.4,1254,underutilized
1178,AWS,4,2,8,86.78,129,325.2,713,overutilized
1179,AWS,4,2,8,89.82,145,326.2,905,overutilized
1180,GCP,64,16,32,87.22,126,3328.4,1785,overutilized
1181,AWS,2,1,8,89.23,81,202.6,879,overutilized
1182,On-prem,2,1,8,95.14,166,162.4,927,overutilized
1183,On-prem,16,8,16,67.99,60,842.4,1113,optimal
1184,On-prem,32,16,16,46.73,244,1622.4,1107,underutilized
1185,On-prem,4,1,8,76.48,133,228.2,883,optimal
1186,On-prem,64,16,32,93.79,58,2669,1523,overutilized
1187,AWS,64,16,32,70.72,75,3342.8,1421,optimal
1188,AWS,64,16,32,78.87,127,3322.6,1748,overutilized
1189,On-prem,8,1,8,60.09,267,358,889,optimal
1190,AWS,4,2,8,76.35,80,325.4,705,optimal
1191,GCP,8,1,8,53.74,117,445.8,787,underutilized
1192,On-prem,16,8,16,55.45,80,844.6,967,underutilized
1193,GCP,8,2,8,48.77,127,488.6,874,underutilized
1194,AWS,16,8,16,51.65,65,1051.8,881,underutilized
1195,AWS,1,1,8,47.78,73,162.6,934,underutilized
1196,AWS,8,2,8,47.83,58,485,955,underutilized
1197,GCP,1,1,8,52.75,126,162,887,underutilized
1198,GCP,16,4,16,55.94,53,896.8,868,underutilized
1199,AWS,2,1,8,66.37,126,202.8,819,optimal
1200,AWS,1,1,8,47.79,81,162,908,underutilized
1201,On-prem,2,1,8,71.02,262,162,935,optimal
1202,GCP,64,16,32,54.56,90,3320.2,1296,underutilized
1203,On-prem,1,1,8,48.63,92,130.2,920,underutilized
1204,GCP,1,1,8,65.77,43,162,915,optimal
1205,GCP,32,16,16,51.56,78,2025,1292,underutilized
1206,GCP,64,16,32,88.96,87,3324.4,1639,overutilized
1207,GCP,64,16,32,85.12,51,3335.4,1687,overutilized
1208,GCP,64,16,32,70.9,44,3336.6,1546,optimal
1209,AWS,4,1,8,42.19,110,284.4,929,underutilized
1210,On-prem,16,4,16,78.48,265,713.6,985,optimal
1211,On-prem,2,1,8,65.25,171,163,855,optimal
1212,AWS,32,16,16,54.11,75,2033.8,1084,underutilized
1213,AWS,2,1,8,59.12,85,203.8,970,underutilized
1214,GCP,64,16,32,71.68,86,3340.8,1722,overutilized
1215,AWS,32,16,16,65.99,45,2030.4,1298,optimal
1216,AWS,16,4,16,59.83,122,893.4,774,underutilized
1217,AWS,32,16,16,82.76,40,2036.2,1000,overutilized
1218,On-prem,4,2,8,91.39,118,259.4,915,overutilized
1219,GCP,8,2,8,82.93,145,489.2,917,overutilized
1220,AWS,64,16,32,71.05,41,3334,1448,optimal
1221,On-prem,2,1,8,41.48,238,162.4,803,underutilized
1222,On-prem,8,2,8,73.11,101,391.6,763,optimal
1223,AWS,4,2,8,64.5,45,326.4,830,optimal
1224,AWS,2,1,8,72.33,125,202.6,739,optimal
1225,AWS,1,1,8,58.55,40,163,896,underutilized
1226,AWS,4,1,8,85.71,106,285.4,673,overutilized
1227,AWS,2,1,8,55.58,137,203.8,715,underutilized
1228,AWS,16,4,16,42.82,58,893.6,1092,underutilized
1229,GCP,1,1,8,84.41,133,162.6,808,overutilized
1230,GCP,4,1,8,53.21,98,284,672,underutilized
1231,GCP,64,16,32,95.11,85,3323.8,1268,overutilized
1232,On-prem,32,16,16,86.06,285,1631.2,1304,overutilized
1233,GCP,16,8,16,89.32,136,1055.4,1074,overutilized
1234,GCP,16,8,16,50.3,65,1056.2,1092,underutilized
1235,AWS,8,1,8,94.36,81,444.4,943,overutilized
1236,On-prem,2,1,8,63.45,95,162.2,849,optimal
1237,GCP,4,1,8,60.44,55,285.2,811,optimal
1238,GCP,64,16,32,52.27,56,3339.6,1520,underutilized
1239,AWS,16,8,16,92.24,79,1055,803,overutilized
1240,On-prem,2,1,8,81.67,101,162.4,666,overutilized
1241,On-prem,32,16,16,42.58,293,1619,1219,overutilized
1242,GCP,2,1,8,82.23,53,203.4,971,overutilized
1243,GCP,8,2,8,42.66,136,485.2,901,underutilized
1244,On-prem,16,4,16,49.13,184,717.6,1091,underutilized
1245,GCP,4,2,8,60.1,52,325.8,897,optimal
1246,AWS,4,1,8,43.37,92,285,927,underutilized
1247,GCP,1,1,8,93.84,148,162,930,overutilized
1248,AWS,8,1,8,61.33,126,448.4,992,optimal
1249,AWS,4,2,8,74.93,136,324.4,983,optimal
1250,GCP,32,16,16,83.14,116,2028.2,1029,overutilized
1251,GCP,16,8,16,64.78,122,1053.8,1059,optimal
1252,AWS,16,4,16,96.71,117,893.6,1152,overutilized
1253,AWS,1,1,8,88.71,119,163,810,overutilized
1254,AWS,64,16,32,79.01,111,3327.6,1212,optimal
1255,AWS,16,8,16,40.42,150,1058.6,1135,overutilized
1256,AWS,64,16,32,48.9,150,3333,1594,overutilized
1257,AWS,2,1,8,76.92,150,203,957,overutilized
1258,AWS,2,1,8,72.08,94,202.8,808,optimal
1259,AWS,16,4,16,60.62,43,889.2,939,optimal
1260,On-prem,4,2,8,85.79,273,259.4,842,overutilized
1261,On-prem,64,16,32,56.1,216,2662.8,1314,underutilized
1262,GCP,32,16,16,92.24,102,2036.4,1248,overutilized
1263,AWS,16,4,16,91.81,52,893.6,911,overutilized
1264,AWS,64,16,32,66.94,101,3315.2,1375,optimal
1265,GCP,8,2,8,47.8,71,485.8,927,underutilized
1266,AWS,8,1,8,62.72,79,447.6,871,optimal
1267,AWS,32,16,16,86.43,144,2028.2,1155,overutilized
1268,AWS,4,1,8,74.59,49,283.6,982,optimal
1269,GCP,8,1,8,77.26,146,446.2,1001,overutilized
1270,On-prem,4,2,8,42.5,222,260.2,788,underutilized
1271,AWS,64,16,32,88.35,41,3343.4,1602,overutilized
1272,AWS,16,8,16,64.76,69,1056.2,784,optimal
1273,GCP,16,8,16,44.79,125,1054.6,915,underutilized
1274,AWS,2,1,8,66.04,139,203.8,793,optimal
1275,AWS,2,1,8,95.1,139,202.2,679,overutilized
1276,On-prem,4,2,8,86.66,97,259.6,847,overutilized
1277,On-prem,64,16,32,81.09,195,2673.4,1596,overutilized
1278,GCP,16,8,16,81.32,84,1051,816,overutilized
1279,AWS,8,2,8,72.63,144,487,896,overutilized
1280,AWS,32,16,16,93.66,73,2030,1165,overutilized
1281,AWS,4,2,8,46.4,60,325,766,underutilized
1282,AWS,64,16,32,51.71,147,3317.8,1621,overutilized
1283,AWS,2,1,8,53.33,53,203.4,853,underutilized
1284,GCP,32,16,16,47.7,133,2030.2,1342,underutilized
1285,AWS,64,16,32,86.4,52,3314.6,1224,overutilized
1286,GCP,16,4,16,40.27,73,894.6,861,underutilized
1287,AWS,8,1,8,45.29,70,448.4,719,underutilized
1288,On-prem,1,1,8,83.67,101,130,664,overutilized
1289,GCP,2,1,8,67.43,113,203,818,optimal
1290,AWS,64,16,32,44.85,132,3338,1753,overutilized
1291,AWS,32,16,16,87.31,123,2032.2,1260,overutilized
1292,On-prem,16,4,16,49.11,127,717.6,1030,underutilized
1293,GCP,1,1,8,71.36,85,162.2,644,optimal
1294,GCP,32,16,16,75.76,125,2034,1233,optimal
1295,AWS,1,1,8,88.99,45,162.6,829,overutilized
1296,GCP,1,1,8,73.18,145,162.6,906,overutilized
1297,AWS,8,1,8,61.26,79,445,873,optimal
1298,On-prem,8,2,8,55.9,88,391.4,907,underutilized
1299,AWS,8,1,8,76.22,138,446.6,850,optimal
1300,AWS,32,16,16,58.68,122,2028,1035,underutilized
1301,GCP,1,1,8,84.84,112,163,745,overutilized
1302,GCP,4,1,8,63.47,77,283,684,optimal
1303,AWS,1,1,8,95.01,146,162.8,697,overutilized
1304,AWS,32,16,16,76.82,52,2032,1211,optimal
1305,AWS,4,2,8,71.75,119,323.8,961,optimal
1306,AWS,2,1,8,64.47,143,203.2,728,overutilized
1307,AWS,2,1,8,73.02,61,204,878,optimal
1308,GCP,16,4,16,77.8,87,896.4,1151,optimal
1309,AWS,64,16,32,81.98,109,3344.6,1386,overutilized
1310,On-prem,4,1,8,92.93,293,227.8,696,overutilized
1311,AWS,4,2,8,64.28,79,325,811,optimal
1312,GCP,1,1,8,61.17,86,163.2,839,optimal
1313,AWS,8,1,8,90.79,102,446,939,overutilized
1314,GCP,8,2,8,42.2,60,486.6,1014,underutilized
1315,AWS,16,4,16,94.26,86,896.2,890,overutilized
1316,AWS,1,1,8,81.56,102,161.6,900,overutilized
1317,AWS,1,1,8,63.1,88,162.4,827,optimal
1318,AWS,2,1,8,56.92,52,203.8,719,underutilized
1319,AWS,1,1,8,49,98,162.8,906,underutilized
1320,AWS,2,1,8,54.75,113,202.8,710,underutilized
1321,AWS,16,8,16,93.04,139,1051,788,overutilized
1322,GCP,16,4,16,45.16,95,893,1143,underutilized
1323,On-prem,8,1,8,62.04,179,357.2,721,optimal
1324,GCP,2,1,8,81.07,147,203.2,863,overutilized
1325,GCP,1,1,8,90.87,113,161.8,671,overutilized
1326,AWS,1,1,8,48.83,136,162.2,954,underutilized
1327,On-prem,1,1,8,48.33,52,129.4,843,underutilized
1328,GCP,4,2,8,92.67,147,324.4,832,overutilized
1329,AWS,16,8,16,90.16,120,1054.4,848,overutilized
1330,GCP,16,4,16,73.26,132,895.2,871,optimal
1331,AWS,2,1,8,94.37,96,202.4,807,overutilized
1332,GCP,2,1,8,81.97,94,202.4,840,overutilized
1333,AWS,64,16,32,93.06,137,3335.4,1419,overutilized
1334,AWS,4,2,8,81.66,66,324,902,overutilized
1335,AWS,32,16,16,76.92,44,2037.2,1320,optimal
1336,AWS,2,1,8,92.11,132,203.6,726,overutilized
1337,GCP,64,16,32,92.57,67,3325.4,1696,overutilized
1338,GCP,16,4,16,75.98,132,892.8,871,optimal
1339,GCP,64,16,32,91.18,115,3327,1370,overutilized
1340,On-prem,16,8,16,77.53,218,847.6,937,optimal
1341,GCP,8,1,8,95.53,96,446.8,779,overutilized
1342,AWS,64,16,32,54.45,102,3325.6,1397,underutilized
1343,On-prem,2,1,8,53.25,194,163.2,694,underutilized
1344,GCP,4,2,8,69.26,85,324,825,optimal
1345,On-prem,1,1,8,59.16,53,130,753,underutilized
1346,GCP,16,4,16,81.3,78,893,913,overutilized
1347,AWS,32,16,16,61.27,63,2037,1187,optimal
1348,GCP,1,1,8,79.34,117,162.6,839,optimal
1349,GCP,4,2,8,78.38,110,325.2,801,optimal
1350,GCP,64,16,32,76.95,52,3314.4,1799,overutilized
1351,GCP,1,1,8,79,133,161.8,758,optimal
1352,AWS,1,1,8,89.34,83,162.8,945,overutilized
1353,AWS,1,1,8,74.93,71,162.2,938,optimal
1354,GCP,8,1,8,83.27,45,447.8,913,overutilized
1355,On-prem,1,1,8,68.63,157,129.8,943,optimal
1356,AWS,4,2,8,78.19,139,323.2,938,optimal
1357,AWS,8,2,8,70,116,489.4,846,optimal
1358,AWS,32,16,16,49.72,105,2027.4,1264,underutilized
1359,On-prem,4,2,8,90.46,258,259.8,902,overutilized
1360,AWS,32,16,16,51.32,81,2023,1097,underutilized
1361,AWS,64,16,32,40.79,88,3332.2,1778,overutilized
1362,GCP,16,4,16,57.66,49,889.4,965,underutilized
1363,AWS,8,1,8,97.35,87,446.4,868,overutilized
1364,AWS,16,8,16,44.03,120,1060.6,901,underutilized
1365,AWS,4,2,8,83.3,132,325.2,986,overutilized
1366,GCP,1,1,8,71.52,131,162.8,877,optimal
1367,AWS,1,1,8,79,63,162.4,653,optimal
1368,AWS,64,16,32,88.12,150,3335.6,1257,overutilized
1369,AWS,64,16,32,89.85,107,3334.2,1432,overutilized
1370,AWS,64,16,32,58.07,61,3325,1411,underutilized
1371,GCP,8,1,8,57.59,122,445.2,1045,underutilized
1372,AWS,1,1,8,94.34,130,162.2,857,overutilized
1373,AWS,64,16,32,83.72,72,3323,1509,overutilized
1374,AWS,2,1,8,66.81,47,203.4,706,optimal
1375,AWS,32,16,16,92.15,120,2028.8,1023,overutilized
1376,GCP,64,16,32,50.63,87,3333.8,1383,underutilized
1377,AWS,8,1,8,48.51,51,447.2,703,underutilized
1378,GCP,16,4,16,74.6,43,896.2,928,optimal
1379,AWS,8,1,8,56.65,80,445.4,783,underutilized
1380,AWS,8,1,8,91.51,50,447.6,1047,overutilized
1381,AWS,1,1,8,54.6,74,162.4,726,underutilized
1382,AWS,16,4,16,95.24,117,890.2,891,overutilized
1383,AWS,32,16,16,53.67,99,2028.4,963,underutilized
1384,GCP,4,1,8,97.07,80,283.2,860,overutilized
1385,AWS,2,1,8,40.94,135,203.8,693,underutilized
1386,AWS,16,4,16,73.52,47,896,965,optimal
1387,GCP,32,16,16,86.77,63,2039,1168,overutilized
1388,On-prem,2,1,8,56.51,108,162.8,853,underutilized
1389,On-prem,32,16,16,65.68,247,1621.4,990,optimal
1390,GCP,2,1,8,52.49,54,203.2,943,underutilized
1391,On-prem,1,1,8,57.25,279,129.4,938,underutilized
1392,GCP,8,1,8,77.34,87,444.6,860,optimal
1393,AWS,16,4,16,59.67,124,893.8,957,underutilized
1394,AWS,2,1,8,64.12,112,203.8,762,optimal
1395,AWS,1,1,8,73.24,80,162.6,952,optimal
1396,On-prem,4,1,8,92.07,206,228,903,overutilized
1397,GCP,1,1,8,62.73,113,162.2,899,optimal
1398,GCP,64,16,32,42.71,98,3334.6,1526,underutilized
1399,GCP,1,1,8,65.04,81,162.8,736,optimal
1400,AWS,64,16,32,95.65,53,3336.8,1434,overutilized
1401,AWS,16,4,16,65.08,62,890,1056,optimal
1402,AWS,16,4,16,87.47,107,888.8,887,overutilized
1403,GCP,32,16,16,49.14,119,2034,1216,underutilized
1404,GCP,8,2,8,54.74,134,486.8,985,underutilized
1405,AWS,2,1,8,82.85,131,202.4,664,overutilized
1406,On-prem,4,2,8,42.65,165,258.8,671,underutilized
1407,AWS,1,1,8,67.42,135,162.2,941,optimal
1408,GCP,64,16,32,92.55,124,3344.8,1792,overutilized
1409,AWS,8,1,8,93.49,59,447.4,859,overutilized
1410,GCP,4,2,8,59.03,71,324.2,701,underutilized
1411,AWS,64,16,32,63.09,112,3339.6,1232,optimal
1412,On-prem,64,16,32,76.66,187,2655.8,1337,optimal
1413,On-prem,2,1,8,46.95,168,162.4,718,underutilized
1414,AWS,16,8,16,77.43,58,1059,798,optimal
1415,On-prem,1,1,8,42.08,99,129.4,761,underutilized
1416,On-prem,1,1,8,73.87,53,130,815,optimal
1417,GCP,2,1,8,87.55,104,203,656,overutilized
1418,On-prem,1,1,8,65.26,83,129.6,710,optimal
1419,AWS,64,16,32,72.15,133,3326.2,1364,optimal
1420,On-prem,16,8,16,70.7,175,848.2,918,optimal
1421,AWS,64,16,32,53.81,112,3314.2,1724,overutilized
1422,AWS,16,4,16,64.57,149,893.4,954,overutilized
1423,AWS,4,2,8,48.44,102,324,753,underutilized
1424,AWS,8,1,8,77.71,150,447.2,893,overutilized
1425,GCP,64,16,32,70.87,70,3328.2,1463,optimal
1426,AWS,4,2,8,66.74,91,323.8,675,optimal
1427,AWS,2,1,8,74.46,107,202.8,912,optimal
1428,GCP,16,8,16,90.05,119,1059,910,overutilized
1429,AWS,1,1,8,50.01,40,162,817,underutilized
1430,AWS,64,16,32,52.84,145,3335.4,1711,overutilized
1431,GCP,32,16,16,68.75,110,2030.6,1202,optimal
1432,GCP,32,16,16,66.92,103,2027.2,987,optimal
1433,AWS,1,1,8,56.75,130,162.2,875,underutilized
1434,GCP,2,1,8,49.3,87,204,882,underutilized
1435,AWS,64,16,32,67.7,77,3337.2,1312,optimal
1436,AWS,4,1,8,67.15,99,284.4,788,optimal
1437,AWS,1,1,8,88.23,83,162.2,939,overutilized
1438,AWS,4,2,8,96.67,143,323.6,991,overutilized
1439,AWS,32,16,16,80.19,89,2027.4,1131,overutilized
1440,AWS,64,16,32,58.86,85,3322.4,1366,underutilized
1441,On-prem,4,1,8,49.21,97,228.2,809,underutilized
1442,AWS,8,1,8,66.67,60,445.8,1031,optimal
1443,AWS,8,1,8,51.95,69,444.6,949,underutilized
1444,On-prem,2,1,8,81.83,148,163.2,697,overutilized
1445,AWS,64,16,32,62.21,51,3332.2,1454,optimal
1446,GCP,4,1,8,84.98,78,285.6,883,overutilized
1447,AWS,4,1,8,93.29,65,285,722,overutilized
1448,On-prem,2,1,8,63.79,59,161.8,956,optimal
1449,AWS,8,2,8,94.48,122,487.2,872,overutilized
1450,AWS,32,16,16,44.82,145,2022.4,1024,overutilized
1451,AWS,64,16,32,83.78,131,3323,1282,overutilized
1452,GCP,4,2,8,81.81,60,324,938,overutilized
1453,GCP,64,16,32,58.58,141,3323,1528,overutilized
1454,On-prem,32,16,16,53.94,215,1631.2,951,underutilized
1455,AWS,2,1,8,81.7,113,202.4,751,overutilized
1456,GCP,32,16,16,63.66,110,2033.2,1332,optimal
1457,AWS,16,4,16,40.23,118,890.6,1034,underutilized
1458,GCP,1,1,8,80.11,50,162.2,896,overutilized
1459,On-prem,4,2,8,84.78,104,259.2,829,overutilized
1460,AWS,4,1,8,65.65,42,285.2,844,optimal
1461,GCP,2,1,8,91.55,130,203.8,846,overutilized
1462,GCP,16,4,16,47.85,71,894.2,774,underutilized
1463,AWS,4,2,8,73.4,66,325.2,782,optimal
1464,GCP,1,1,8,80.55,61,163,733,overutilized
